Group,Classification,Test,testAlsoKnownAs,Symbol,Parameter,TestMethod,Alt1,Alt2,Alt3,SampleType,FieldSampleMass,SpecimenType,SpecimenMass,SpecimenNumbers,SpecimenD,SpecimenL,SpecimenW,SpecimenH,SpecimenMaxGrainSize,SpecimenMaxGrainFraction,SchedulingNotes,Database,imagePath,testDescription
Abrasivity - Durability,K127,Slaking (rock),NULL,RS,durability,In-house,NULL,NULL,NULL,Disturbed,NULL,Lumps,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL,NULL
Abrasivity - Durability,K127,Slake durability,NULL,SD,durability,ISRM SM 1974–2006,ASTM D4644-16,NULL,NULL,Disturbed,NULL,Lumps,0.5,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL,“The test method covers the determination of the slake durability index of shale or other weak rocks after drying and wetting cycles with abrasion effects Test specimen comprises ten pieces   greater than 2 mm and weighing 40-60 g each   is placed in a wire mesh drum mounted in the slake durability apparatus where the drum is partially submerged in a trough filled with distilled water.\x The pieces in the drum are rotated at 20 rpm for 10 min twice. At the end of each cycle the pieces are oven dried and the total mass of the specimen retained in the drum is recorded.  The slake durability index is the percentage by dry mass of the test specimen pieces finally retained on a 2 mm sieve. The following are also recorded and reported:  1) retained specimen is virtually unchanged;  2) retained specimen comprises large and small fragments;  3) retained specimen exclusively comprises small fragments”
Abrasivity - Durability,K132,Los Angeles,NULL,LAV,durability / hardness,BS EN 1097-2,NULL,NULL,NULL,Disturbed,NULL,Crushed,10,1,NULL,NULL,NULL,NULL,NULL,10 /14,Other fractions are possible,rocks,NULL,NULL
Abrasivity - Durability,K128,Magnesium sulphate,NULL,MSV,durability,BS EN 1367-2,NULL,NULL,NULL,Disturbed,NULL,Crushed,0.5,2,NULL,NULL,NULL,NULL,NULL,10 /14,Other fractions are possible,rocks,NULL,NULL
Chemical - Mineralogy,K26,Thermal resistivity,NULL,TR,thermal resistivity / thermal conductivity / heat capacity,ASTM D5334-14,IEE 422-2017,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1,38-100,NULL,NULL,(1.0-2.0)D,NULL,NULL,NULL,rocks,NULL,NULL
Chemical - Mineralogy,K27,Electrical resistivity,NULL,ER,electrical resistivity,ASTM G187-18,NULL,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1,70 / 100,NULL,NULL,(1.0-2.0)D,NULL,NULL,NULL,rocks,NULL,NULL
Chemical - Mineralogy,NULL,Petrography (optical microscopy),NULL,OM,qualitative or quantitative mineral identification and lithological characterisation,Subcontracted,NULL,NULL,NULL,Intact or disturbed,NULL,NULL,0.05,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL,NULL
Chemical - Mineralogy,NULL,Scanning electron microscopy,NULL,SEM,mineral identification & composition,NULL,NULL,NULL,NULL,Intact or disturbed,NULL,NULL,0.05,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL,NULL
Chemical - Mineralogy,NULL,powder XRD,NULL,pXRD,mineral identification & percentages,NULL,NULL,NULL,NULL,Intact or disturbed,NULL,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL,NULL
Chemical - Mineralogy,NULL,clay XRD,NULL,clay XRD,clay minerals identification,NULL,NULL,NULL,NULL,Intact or disturbed,NULL,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL,NULL
