Group,Classification,Test,testAlsoKnownAs,Abbreviation or symbol,Test parameters,Default test method,Sample type,Field sample mass (kg) (6 x ?Dmax (mm) x loose bulk density (Mg/m3)),Test specimen type mass and number,Mass (kg),Number,Max grain size D(max) (mm),Fraction d/D,Scheduling notes,databaseBelongsTo,imagePath,testDescription
Strength & Durability,K128,Magnesium sulphate value,NULL,MS,Magnesium sulphate value,BS 1367-2:2009,Bulk (loose material),NULL,Bulk,0.5,2,NULL,10/14,Alternative fractions are 20/28 14/20 6/10 5/6 3/5 2/3 1/2 and 0.3/0.6,aggregate,NULL,"Prepare 3 L of magnesium sulphate solution by dissolving in 1 L of deionized or distilled water 1500 g Μg2SO4 7H2O by stirring at 25–30 ºC. Lower the solution temperature to 20 ± 2 ºC and then keep the solution at this temperature for 48 ± 1 h. The density of the solution should be and maintained at 1.292 ± 0.008 Mg/m3 , Wash and dry the sample at 110 ± 5 ºC for 24 ± 1 h. Prepare two specimens, with mass between 100 g and 800 g, depending on the test specimen fraction d/D (see below specimen sizes). Wash the specimens in deionized water, dry them and take the required quantities,Immerse the specimens in the magnesium sulphate solution for 17 ± 0.5 h. Take the specimens out of the solution and drain them for 2 ± 0.25 h and then dry them at 110 °C ± 5 °C for 24 ± 1 h. The sequence of immersion, draining, and drying is repeated five times. Finally, the specimens are washed with tap water to remove any magnesium sulphate, dried at 110 °C ± 5 °C and sieved using the sieve that defines d in the d/D fraction (Table 1),Immerse the specimens in the magnesium sulphate solution for 17 ± 0.5 h. Take the specimens out of the solution and drain them for 2 ± 0.25 h and then dry them at 110 °C ± 5 °C for 24 ± 1 h. The sequence of immersion, draining, and drying is repeated five times. Finally, the specimens are washed with tap water to remove any magnesium sulphate, dried at 110 °C ± 5 °C and sieved using the sieve that defines d in the d/D fraction\x The loss of weight attributed to wear is recorded and expressed as a percentage of the original sample mass. The mean value of two tests, rounded to the nearest integer, is reported as the magnesium sulphate (MS) value\xTest measures 1) the resistance of aggregates to the degradation or disintegration resulting from the crystallization of magnesium sulphate salts within the pores and interstitial structures of the aggregate particles, and 2) the resistance to the wetting-drying and heating-cooling cycles, which are involved in the test procedure\xDuring testing, aggregate particles are subjected to forces that simulate the effects of natural freeze & thaw cycles or salt weathering"
Strength & Durability,NULL,Aggregate crushing value,NULL,ACV,Aggregate crushing value,BS 812:110,Bulk (loose material),NULL,Bulk,45 60,3,20 40,10/14,NULL,aggregate,NULL,NULL
Strength & Durability,NULL,Ten percent fines value ,NULL,TFV,Ten percent fines value ,BS 812:111,Bulk (loose material),NULL,Bulk,45 60,3,20 40,NULL,NULL,aggregate,NULL,NULL
Strength & Durability,K134,Aggregate abrasion value ,NULL,AAV,Aggregate abrasion value ,BS EN 1097-8:2020,Bulk (loose material),NULL,Bulk,2,2,NULL,10/14,NULL,aggregate,NULL,NULL
Strength & Durability,K135,Polished stone value ,NULL,PSV,Polished stone value ,BS EN 1097-8:2020,Bulk (loose material),NULL,Bulk,2,2,NULL,10/14,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,Water-soluble chloride content,NULL,C,Water-soluble chloride content,BS EN 1744-1:8 (2009+A1:2012),Bulk (loose material),NULL,Bulk,5 15 35 50,2,22 32 45 63,NULL,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,Acid-soluble chloride content,NULL,C,Acid-soluble chloride content,BS EN 1744-1:9 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,Water-soluble sulphate content,NULL,soluble SO3,Water-soluble sulphate content,BS EN 1744-1:10 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,Total sulphur,NULL,S,Total sulphur,BS EN 1744-1:11 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,Acid-soluble sulphate content,NULL,sulphate content,Acid-soluble sulphate content,BS EN 1744-1:12 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,Acid-soluble sulphide ,NULL,S,Acid-soluble sulphide ,BS EN 1744-1:13 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,Carbonate content,NULL,CaO CO2,Carbonate content,BS EN 196-2:2013,Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,Lightweight contaminators,NULL,mLPC,Lightweight contaminators,BS EN 1744-1:14.2 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,Humus content,NULL,NULL,Humus content,BS EN 1744-1:15.1  (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,Fulvo acid content,NULL,NULL,Fulvo acid content,BS EN 1744-1:15.2 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,Petrography,NULL,NULL,Mineral characterisation & lithology,BS EN 932-3:2022,Bulk (loose material),NULL,Bulk,0.5 2 8 25 50,1,4 8 16 32 63,NULL,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,SEM/EDS,NULL,NULL,Mineral characterisation,NULL,Bulk (loose material),NULL,Bulk,0.2,1,NULL,NULL,NULL,aggregate,NULL,NULL
Chemical & Petrography,NULL,Powder XRD,NULL,NULL,Mineral characterisation,NULL,Bulk (loose material),NULL,Bulk,0.2,1,NULL,NULL,NULL,aggregate,NULL,NULL
