myGroup, classification, test, testAlsoKnownAs, symbol, parameters, testMethod, alt1, alt2, alt3, sampleType, fieldSampleMass,  specimenType, specimenMass, specimenNumbers, specimenD, specimenL, specimenW, specimenH, specimenMaxGrainSize, specimenMaxGrainFraction, databaseBelongsTo, imagePath,testDescription
Classification & shrinkage,NULL,Filter paper,NULL,FP,Suction,BRE IP4/93,NULL,NULL,NULL,Intact,3 x Dmax or 4 x test specimen mass,Intact,NULL,1,70 or 100,NULL,NULL,2,NULL,NULL,database,NULL,NULL
Electrochemical - Corrosivity,NULL,Redox potential,NULL,RP,redox potential,Subcontracted,NULL,NULL,NULL,Disturbed,3 x Dmax or 4 x test specimen mass,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Electrochemical - Corrosivity,K26,Electrical Resistivity (4 electrodes),NULL,ER4,electrical resistivity,BS 1377-3:13 (2018),ASTM G57-20,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,Intact reconstituted remoulded,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,database,public/testImages/Electrical-Resistivity.jpg,NULL
Electrochemical - Corrosivity,K26,Electrical Resistivity (2 electrodes),NULL,ER2,electrical resistivity,ASTM G187-23,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,Intact reconstituted remoulded,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,database,public/testImages/Electrical-Resistivity.jpg,NULL
Electrochemical - Corrosivity,K27,Thermal resistivity,NULL,TR,thermal resistivity thermal conductivity heat capacity,ASTM D5334-22ae1,IEE 422-2017,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,Intact reconstituted remoulded,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,database,public/testImages/Thermal-resistivity.JPG,NULL
Chemical,K25,pH value,NULL,pH,pH,Subcontracted,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,K17,Water-soluble sulphate in soil,NULL,WS,water-soluble SO4,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,K18,Sulphate in groundwater,NULL,GWS,SO4 in groundwater,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,K16,Acid-soluble sulphate in soil,NULL,AS,acid-soluble SO4,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,K23,Total sulphur,NULL,TS,total sulphur,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,NULL,Total sulphide (reduced sulphur) in soil,NULL,TRS,total sulphide,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,NULL,Acid-soluble sulphide in soil,NULL,MS,acid-soluble sulphide,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,K14,Organic content,NULL,OC,organic matter,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,K15,Loss on ignition,NULL,LOI,organic matter,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,K21,Chloride in soil & groundwater,NULL,Cl,chloride,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,K128,Magensium in soil & groundwater,NULL,Mg,magnesium,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,K24,Total dissolved solids in groundwater,NULL,TDS,total dissolved solids,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,NULL,non-pyritic BRE suite,NULL,BRE 1.00,water-soluble SO4 pH,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,NULL,pyritic BRE suite,NULL,BRE 2.00,water-soluble SO4 acid-soluble SO4 total sulphur pH,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,NULL,non-pyritic Brownfield suite,NULL,BRE 3.00,wate-soluble SO4 pH magnesium chloride NO3,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Chemical,NULL,pyritic BRE Brownfield,NULL,BRE 4.00,"water-soluble SO4 acid-soluble SO4 total sulphur, pH magnesium chloride Cl NO3",NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Mineralogy,NULL,Petrography SEM/EDS,NULL,SEM,Mineral identification & composition,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Mineralogy,NULL,Powder XRD,NULL,powder XRD,Minerals characterisation & percentages,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Mineralogy,NULL,Clay fraction ,NULL,clay XRD,clay minerals characterisation,NULL,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Compaction,K30,2.5 kg compaction - 1 L mould,Dry density/water content relationship using 2.5 kg rammer in 1L mould,2.5kg_1L,maximum dry density optimum water content air voids,BS 1377-2:2022,BS EN 13286-2:2010,NULL,NULL,Disturbed,80,NULL,5,5,105,NULL,NULL,115,20,NULL,database,NULL,“Not appropriate for free-draining gravel-rich soils and with more than 30% grains retained on the 20 mm sieve\n Test specimens should have 0-10% retained on the 37.5 mm sieve and 0-30% retained on the 20 mm sieve. If material is non-crushable  one specimen can be re-used five times; otherwise  five specimens are needed\n Add water to the soil specimen and mix thoroughly. Place the first layer of the wet soil in a 1 L or 2.3 L mould; compact the layer by dropping a 2.5 kg or 4.5 rammer from 300 mm or 450 mm height  or by using a vibrating hammer  a standard number of times  e.g. 27 or 62  or frequency; repeat this process for a prescribed number of layers  e.g. 3 or 5; determine the density and water content of each specimen  plot the dry density values against the water content and determine the maximum dry density and corresponding water content”
Compaction,K30,2.5 kg compaction - CBR mould,Dry density/water content relationship using 2.5 kg rammer in CBR mould,2.5kg_2.3L,maximum dry density optimum water content air voids,BS 1377-2:2022,NULL,NULL,NULL,Disturbed,120,NULL,10,5,152,NULL,NULL,127,20,NULL,database,NULL,“Not appropriate for free-draining gravel-rich soils and with more than 30% grains retained on the 20 mm sieve\n Test specimens should have 0-10% retained on the 37.5 mm sieve and 0-30% retained on the 20 mm sieve. If material is non-crushable  one specimen can be re-used five times; otherwise  five specimens are needed \n Add water to the soil specimen and mix thoroughly. Place the first layer of the wet soil in a 1 L or 2.3 L mould; compact the layer by dropping a 2.5 kg or 4.5 rammer from 300 mm or 450 mm height  or by using a vibrating hammer  a standard number of times  e.g. 27 or 62  or frequency; repeat this process for a prescribed number of layers  e.g. 3 or 5; determine the density and water content of each specimen  plot the dry density values against the water content and determine the maximum dry density and corresponding water content”
Compaction,K31,4.5 kg compaction - 1 L mould,Dry density/water content relationship using 4.5 kg rammer in 1L mould,4.5kg_1L,maximum dry density optimum water content air voids,BS 1377-2:2022,BS EN 13286-2:2010,NULL,NULL,Disturbed,80,NULL,5,5,105,NULL,NULL,115,20,NULL,database,NULL,"“Not appropriate for free-draining gravel-rich soils and with more than 30% grains retained on the 20 mm sieve\nTest specimens should have 0-10% retained on the 37.5 mm sieve and 0-30% retained on the 20 mm sieve. If material is non-crushable  one specimen can be re-used five times; otherwise, five specimens are needed\nAdd water to the soil specimen and mix thoroughly. Place the first layer of the wet soil in a 1 L or 2.3 L mould; compact the layer by dropping a 2.5 kg or 4.5 rammer from 300 mm or 450 mm height  or by using a vibrating hammer  a standard number of times  e.g. 27 or 62  or frequency; repeat this process for a prescribed number of layers  e.g. 3 or 5; determine the density and water content of each specimen  plot the dry density values against the water content and determine the maximum dry density and corresponding water content”"
Compaction,K31,4.5 kg compaction - CBR mould,Dry density/water content relationship using 4.5 kg rammer in CBR mould,4.5kg_2.3L,"maximum dry density, optimum water content, air voids",BS 1377-2:2022,NULL,NULL,NULL,Disturbed,120,NULL,10,5,152,NULL,NULL,127,20,NULL,database,NULL,“Not appropriate for free-draining gravel-rich soils and with more than 30% grains retained on the 20 mm sieve\nTest specimens should have 0-10% retained on the 37.5 mm sieve and 0-30% retained on the 20 mm sieve. If material is non-crushable  one specimen can be re-used five times; otherwise  five specimens are needed\nAdd water to the soil specimen and mix thoroughly. Place the first layer of the wet soil in a 1 L or 2.3 L mould; compact the layer by dropping a 2.5 kg or 4.5 rammer from 300 mm or 450 mm height  or by using a vibrating hammer  a standard number of times  e.g. 27 or 62  or frequency; repeat this process for a prescribed number of layers  e.g. 3 or 5; determine the density and water content of each specimen  plot the dry density values against the water content and determine the maximum dry density and corresponding water content”
Compaction,K32,Compaction by vibrating hammer,Dry density/water content relationship using vibrating hammer ,VH,"maximum dry density, optimum water content, air voids",BS 1377-2:2022,NULL,NULL,NULL,Disturbed,120,NULL,10,5,152,NULL,NULL,127,20,NULL,database,public/testImages/Compaction-Vibrating-Hammer.jpg,“Not appropriate for free-draining gravel-rich soils and with more than 30% grains retained on the 20 mm sieve\nTest specimens should have 0-10% retained on the 37.5 mm sieve and 0-30% retained on the 20 mm sieve. If material is non-crushable  one specimen can be re-used five times; otherwise  five specimens are needed\nAdd water to the soil specimen and mix thoroughly. Place the first layer of the wet soil in a 1 L or 2.3 L mould; compact the layer by dropping a 2.5 kg or 4.5 rammer from 300 mm or 450 mm height  or by using a vibrating hammer  a standard number of times  e.g. 27 or 62  or frequency; repeat this process for a prescribed number of layers  e.g. 3 or 5; determine the density and water content of each specimen  plot the dry density values against the water content and determine the maximum dry density and corresponding water content”
Compaction,K35/K36,Moisture condition value,Moisture condition value at natural water content,MCV,moisture condition,BS 1377-2:2022,BS EN 13286-4:2021,NULL,NULL,Disturbed,60,NULL,3,1,100,NULL,NULL,200,20,NULL,database,NULL,"Material is compacted in a 100 mm x 200 mm mould by using a 7 kg rammer and the settlement achieved for a specified number of blows is recorded."
Compaction,K124,Moisture content calibration,Moisture condition value/water content relationship,MCC,moisture content calibration,BS 1377-2:2022,NULL,NULL,NULL,Disturbed,60,NULL,3,1,100,NULL,NULL,200,20,NULL,database,NULL,"Use soil material passing a 20 mm sieve. The test specimen is compacted at different water contents in a 100 mm x 200 mm mould by using a 7 kg rammer and the settlement achieved for a specified number of blows is recorded for each water content. The same specimen can be used if soil is made of non-crushable particles  otherwise  different soil specimens must be used for each water content"
Compaction,K37,Chalk crushing value,,CCV,chalk crushing value,BS 1377-2:2022,NULL,NULL,NULL,Disturbed,,Lumps,1,1,100,NULL,NULL,200,20,10/20,database,NULL,NULL
Compaction,K38,California bearing ratio,California bearing ratio (CBR) on recompacted disturbed sample,CBR,California bearing ratio,BS 1377-2:2022,BS EN 13286-47:2021,NULL,NULL,Disturbed,60,NULL,5,1,152,NULL,NULL,127,20,NULL,database,public/testImages/CBR-1.jpg,“ Only use material passing a 20 mm sieve. The fraction retained on the 20 mm sieve shall be less than 25%  otherwise  the test is not applicable\nThe test specimen’s water content shall represent the design conditions for which the test results are required. Alternatively  for a range of water contents  the water content shall be adjusted\nTo determine the soil bearing capacity  a 50 mm plunger is pushed into an intact or compacted specimen at 1 mm/min and the force is recorded at penetration intervals of 0.25 mm. The test specimen can be soaked or unsoaked. It is recommended that the plunger penetration at the top and base of the test specimen is recorded \nUsing the resulting load–penetration relationship  the CBR can be derived for the soil in the condition in which it was tested. This test  is empirical and only valid for the design of highway base thicknesses”
Compaction,K34,Maximum & minimum density,NULL,RD,relative density maximum density minimum void ratio minimum density maximum void ratio,BS 1377-2:2022,NGI & Geolabs 2019 Can. Geotech. J. Vol. 56 No 4,ASTM D4253 & D4254 (modified),DS 415 & DGI 6,Disturbed,0.6 4 8 20,NULL,0.15 1 2 5,1,35 70 105 152,NULL,NULL,2D 2D 115 127,2.4 6.3 37.5,NULL,database,NULL,“Appropriate for free-draining sand and gravel-rich soils  i.e. <10% fines  <10% retained on a 6.3 mm for sands  and no soil particles retained on the 37.5 mm sieve for gravel-rich soil \nFor the maximum dry density determination  the specimen is compacted under water in a 1 L mould if sand-rich and in a CBR (2.3 L) mould if gravel-rich  and the change in height is measured\nFor the determination of the minimum dry density of sands  the 0.063/2 fraction is allowed to fall freely in a volumetric cylinder and the height is measured. For the determination of the minimum dry of gravel  the 0.063/37.5 fraction is allowed to fall freely into a CBR (2.3 L) mould and the height is measured”
Consolidation & swelling,K40,Incremental loading consolidation,One-dimensional consolidation,OED,"coefficient of compressibility, compression index, coefficient of consolidation pre-consolidation stress swelling stress constrained modulus coefficient of secondary consolidation",BS EN ISO 17892-5:2017,ASTM D2435/D2435M-11 (2020),NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,50 63.5 75,NULL,NULL,20,H/6,NULL,database,NULL,"One-dimensional (1D) incremental loading is applied to a soil specimen confined by a rigid ring, and the deformation over time is recorded\nA minimum of five loading and two unloading stages should be applied and dmaintained until excess porewater pressures have dissipated based on interpretation of the time deformation under constant total stress, e.g. 0.25 x σ’vo or at the swelling stress, 0.5 x σ’vo, 1.0 x σ’vo, 2.0 x σ’vo, 4.0 x σ’vo, 8.0 x σ’vo, 2.0 x σ’vo, 4.0 x σ’vo, 8.0 x σ’vo, 16 x σ’vo, and 32 x σ’vo"
Consolidation & swelling,K58,Consolidation in a hydraulic (Rowe) cell,NULL,Rowe,coefficient of compressibility compression index coefficient of consolidation pre-consolidation stress,BS 1377-2:2022,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,70,NULL,NULL,25,H/10,NULL,database,NULL,"One-dimensional continuous strain- or stress-controlled loading of a laterally restrained and either axially or horizontally drained specimen is used to determine the rate and magnitude of consolidation of soil. Prior to loading, the specimn is saturated by the back-pressure method.\nRowe cell consolidation provides a convenient means of testing small to large specimens and enables drainage in either the horizontal or vertical directions to be investigated. The maximum vertical loading σ'v and the number of test stages shall be defined prior to testing. The default number of loading and unloading stages is four."
Consolidation & swelling,NULL,Constant rate of strain consolidation,NULL,CRS,coefficient of compressibility compression index coefficient of consolidation pre-consolidation stress,ASTM D4186/D4186M-20e1,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,70,NULL,NULL,25,H/10,NULL,database,public/testImages/CRS-consolidation.jpg,“One-dimensional continuous compression under controlled axial strain is used to determine the magnitude and rate of consolidation of saturated cohesive soils. Method is suitable for materials of relatively low hydraulic conductivity that generate measurable excess base pressures. It may be used to measure the compression of essentially free-draining soils but will not provide a measure of the hydraulic conductivity or coefficient of consolidation\nThe soil specimen is restrained laterally and drained axially to one end (Fig. 1). Prior to loading  it is back-pressure saturated. The selected strain rate for axial loading  e.g. 0.01-0.1% axial strain/min  should result in and maintain a pressure ratio (Δu/σconsolidation) between 0.03 and 0.15\nTypically  the test includes one loading phase  one constant load phase (creep)  and one unloading phase. The constant load phase allows the base excess pressure to return to near zero prior to unloading”
Consolidation & swelling,K51,Consolidation in a triaxial cell,NULL,TCC,coefficient of compressibility coefficient of consolidation,BS 1377-2:22 (2022),JGS 525-2020,NULL,NULL,Intact or disturbed,0.8-16,Intact reconstituted remoulded,0.2-4,1,NULL,NULL,NULL,NULL,NULL,NULL,database,public/testImages/TXC-cell.jpg,NULL
Consolidation & swelling,K42,Swelling strain index,Measurement of swelling,SSI,swelling strain,BS EN ISO 17892-5:2017,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,50 63.5 75,NULL,NULL,20,H/6,NULL,database,NULL,"“One-dimensional (1D) incremental loading is applied to a soil specimen confined by a rigid ring  and the deformation over time is recorded \nA minimum of five loading and two unloading stages should be applied maintained until excess porewater pressures have dissipated based on interpretation of the time deformation under constant total stress, e.g. 0.25 x σ’vo or at the swelling stress, 0.5 x σ’vo, 1.0 x σ’vo, 2.0 x σ’vo, 4.0 x σ’vo, 8.0 x σ’vo, 2.0 x σ’vo, 4.0 x σ’vo, 8.0 x σ’vo, 16 x σ’vo, and 32 x σ’vo\nIn 1D swelling, volume change is either permitted or prevented, but either the strain associated with swelling, or the stress required to prevent swelling is measured."
Consolidation & swelling,K42,Swelling stress,Measurements of swelling pressure,SP,swelling stress,BS EN ISO 17892-5:2017,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,50 63.5 75,NULL,NULL,20,H/6,NULL,database,NULL,"One-dimensional (1D) incremental loading is applied to a soil specimen confined by a rigid ring  and the deformation over time is recorded \nA minimum of five loading and two unloading stages should be applied maintained until excess porewater pressures have dissipated based on interpretation of the time deformation under constant total stress, e.g. 0.25 x σ’vo or at the swelling stress, 0.5 x σ’vo, 1.0 x σ’vo, 2.0 x σ’vo, 4.0 x σ’vo, 8.0 x σ’vo, 2.0 x σ’vo, 4.0 x σ’vo, 8.0 x σ’vo, 16 x σ’vo, and 32 x σ’vo\nIn 1D swelling, volume change is either permitted or prevented, but either the strain associated with swelling, or the stress required to prevent swelling is measured."
Consolidation & swelling,K147,Collapse or swelling on wetting,Collapse upon saturation,CS,swelling strain swelling stress,NULL,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,50 63.5 75,NULL,NULL,20,H/6,NULL,database,NULL,NULL
Undrained shear strength,K73,Hand vane,NULL,HV,undrained shear strength,NULL,NULL,NULL,NULL,Intact,,Intact,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Undrained shear strength,K74,Torvane,NULL,TV,undrained shear strength,BS EN ISO 17892-5:2017,NULL,NULL,NULL,Intact,,Intact,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
